<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
RTSI,0,20190322,100001,1237.000000000,99
RTSI,0,20190322,100002,1237.550000000,75395
RTSI,0,20190322,100003,1237.550000000,92429
RTSI,0,20190322,100004,1236.830000000,41681
RTSI,0,20190322,100007,1236.410000000,193522
RTSI,0,20190322,100008,1236.870000000,67897
RTSI,0,20190322,100009,1236.510000000,21513
RTSI,0,20190322,100010,1236.590000000,6550
RTSI,0,20190322,100011,1236.700000000,41381
RTSI,0,20190322,100012,1236.890000000,31476
RTSI,0,20190322,100013,1237.120000000,28651
RTSI,0,20190322,100014,1237.010000000,38154
RTSI,0,20190322,100015,1237.060000000,49693
RTSI,0,20190322,100016,1236.960000000,18770
RTSI,0,20190322,100017,1237.000000000,13054
RTSI,0,20190322,100018,1237.060000000,46419
RTSI,0,20190322,100019,1237.000000000,19872
RTSI,0,20190322,100020,1237.120000000,25829
RTSI,0,20190322,100021,1237.050000000,23684
RTSI,0,20190322,100022,1237.120000000,11042
RTSI,0,20190322,100023,1237.060000000,21926
RTSI,0,20190322,100024,1237.020000000,5639
RTSI,0,20190322,100025,1236.930000000,5314
RTSI,0,20190322,100026,1236.890000000,18778
RTSI,0,20190322,100027,1236.870000000,12875
RTSI,0,20190322,100028,1236.690000000,11112
RTSI,0,20190322,100029,1236.600000000,102820
RTSI,0,20190322,100030,1236.770000000,191961
RTSI,0,20190322,100031,1236.830000000,77966
RTSI,0,20190322,100032,1236.830000000,4449
RTSI,0,20190322,100033,1236.870000000,10406
RTSI,0,20190322,100034,1236.860000000,2516
RTSI,0,20190322,100035,1236.890000000,6910
RTSI,0,20190322,100036,1236.870000000,21190
RTSI,0,20190322,100037,1236.860000000,10091
RTSI,0,20190322,100038,1236.810000000,11074
RTSI,0,20190322,100039,1236.810000000,12160
RTSI,0,20190322,100040,1236.860000000,24742
RTSI,0,20190322,100041,1236.810000000,2771
RTSI,0,20190322,100042,1236.830000000,5806
RTSI,0,20190322,100043,1236.810000000,50996
RTSI,0,20190322,100044,1236.620000000,11728
RTSI,0,20190322,100045,1236.580000000,401
RTSI,0,20190322,100046,1236.580000000,80689
RTSI,0,20190322,100047,1236.580000000,6579
RTSI,0,20190322,100048,1236.490000000,16954
RTSI,0,20190322,100049,1236.440000000,29657
RTSI,0,20190322,100050,1236.270000000,32749
RTSI,0,20190322,100051,1236.340000000,10772
RTSI,0,20190322,100052,1236.980000000,62582
RTSI,0,20190322,100053,1237.110000000,187286
RTSI,0,20190322,100054,1237.080000000,7297
RTSI,0,20190322,100055,1237.250000000,45560
RTSI,0,20190322,100056,1237.430000000,42398
RTSI,0,20190322,100057,1237.380000000,4681
RTSI,0,20190322,100058,1237.410000000,32113
RTSI,0,20190322,100059,1237.490000000,27505
RTSI,0,20190322,100100,1237.620000000,76346
RTSI,0,20190322,100101,1237.550000000,15950
RTSI,0,20190322,100102,1237.460000000,29853
RTSI,0,20190322,100103,1237.460000000,2975
RTSI,0,20190322,100104,1237.280000000,36034
RTSI,0,20190322,100105,1237.130000000,113763
RTSI,0,20190322,100106,1237.000000000,18478
RTSI,0,20190322,100107,1237.100000000,2802
RTSI,0,20190322,100108,1237.080000000,29049
RTSI,0,20190322,100109,1236.920000000,15898
RTSI,0,20190322,100110,1236.980000000,1976
RTSI,0,20190322,100111,1237.000000000,12569
RTSI,0,20190322,100112,1236.760000000,14353
RTSI,0,20190322,100113,1236.780000000,9167
RTSI,0,20190322,100114,1236.740000000,3666
RTSI,0,20190322,100115,1236.840000000,2919
RTSI,0,20190322,100116,1236.740000000,47087
RTSI,0,20190322,100117,1236.820000000,113315
RTSI,0,20190322,100118,1236.900000000,68391
RTSI,0,20190322,100119,1236.850000000,29485
RTSI,0,20190322,100120,1236.760000000,6903
RTSI,0,20190322,100121,1236.810000000,58889
RTSI,0,20190322,100122,1236.760000000,18988
RTSI,0,20190322,100123,1237.060000000,11935
RTSI,0,20190322,100124,1237.000000000,12387
RTSI,0,20190322,100125,1237.080000000,185007
RTSI,0,20190322,100126,1237.210000000,10933
RTSI,0,20190322,100127,1237.170000000,411
RTSI,0,20190322,100128,1237.080000000,48632
RTSI,0,20190322,100129,1237.050000000,7126
RTSI,0,20190322,100130,1237.090000000,11790
RTSI,0,20190322,100131,1237.190000000,30608
RTSI,0,20190322,100132,1237.160000000,39916
RTSI,0,20190322,100133,1237.100000000,12069
RTSI,0,20190322,100134,1237.070000000,952
RTSI,0,20190322,100135,1237.110000000,856
RTSI,0,20190322,100136,1237.120000000,9669
RTSI,0,20190322,100137,1237.120000000,13706
RTSI,0,20190322,100138,1237.080000000,1210
RTSI,0,20190322,100139,1237.100000000,3559
RTSI,0,20190322,100140,1237.190000000,12276
RTSI,0,20190322,100141,1237.250000000,10886
RTSI,0,20190322,100142,1237.170000000,21177
RTSI,0,20190322,100143,1237.180000000,1189
RTSI,0,20190322,100144,1237.200000000,2780
RTSI,0,20190322,100145,1237.160000000,3615
RTSI,0,20190322,100146,1237.200000000,2832
RTSI,0,20190322,100147,1237.110000000,1090
RTSI,0,20190322,100148,1237.040000000,4448
RTSI,0,20190322,100149,1237.020000000,863
RTSI,0,20190322,100150,1237.090000000,4517
RTSI,0,20190322,100151,1237.080000000,13362
RTSI,0,20190322,100152,1237.070000000,2653
RTSI,0,20190322,100153,1237.060000000,1091
RTSI,0,20190322,100154,1237.070000000,1934
RTSI,0,20190322,100155,1237.070000000,1519
RTSI,0,20190322,100156,1237.120000000,824
RTSI,0,20190322,100157,1237.100000000,7037
RTSI,0,20190322,100158,1237.120000000,1411
RTSI,0,20190322,100159,1237.040000000,35645
RTSI,0,20190322,100200,1236.990000000,33363
RTSI,0,20190322,100201,1236.960000000,1665
RTSI,0,20190322,100202,1236.950000000,1816
RTSI,0,20190322,100203,1237.080000000,57524
RTSI,0,20190322,100204,1237.030000000,5984
RTSI,0,20190322,100205,1237.010000000,12791
RTSI,0,20190322,100206,1237.020000000,1119
RTSI,0,20190322,100207,1236.980000000,1251
RTSI,0,20190322,100208,1236.880000000,42323
RTSI,0,20190322,100209,1236.900000000,232
RTSI,0,20190322,100210,1236.840000000,13205
RTSI,0,20190322,100211,1236.820000000,60776
RTSI,0,20190322,100212,1236.740000000,28613
RTSI,0,20190322,100213,1236.760000000,6845
RTSI,0,20190322,100214,1236.820000000,8480
RTSI,0,20190322,100215,1236.870000000,786
RTSI,0,20190322,100216,1236.840000000,14499
RTSI,0,20190322,100217,1236.810000000,1557
RTSI,0,20190322,100218,1236.800000000,11790
RTSI,0,20190322,100219,1236.800000000,3723
RTSI,0,20190322,100220,1236.760000000,7648
RTSI,0,20190322,100221,1236.770000000,22210
RTSI,0,20190322,100222,1236.830000000,685
RTSI,0,20190322,100223,1236.800000000,6892
RTSI,0,20190322,100224,1236.850000000,5503
RTSI,0,20190322,100225,1236.820000000,26462
RTSI,0,20190322,100226,1236.890000000,970
RTSI,0,20190322,100227,1236.890000000,16061
RTSI,0,20190322,100228,1236.860000000,12284
RTSI,0,20190322,100229,1236.850000000,6789
RTSI,0,20190322,100230,1236.900000000,9449
RTSI,0,20190322,100231,1236.900000000,1986
RTSI,0,20190322,100232,1237.030000000,7150
RTSI,0,20190322,100233,1236.860000000,59085
RTSI,0,20190322,100234,1236.830000000,14536
RTSI,0,20190322,100235,1236.770000000,230144
RTSI,0,20190322,100236,1236.760000000,10494
RTSI,0,20190322,100237,1236.710000000,249
RTSI,0,20190322,100238,1236.660000000,14868
RTSI,0,20190322,100239,1236.640000000,7914
RTSI,0,20190322,100240,1236.660000000,17694
RTSI,0,20190322,100241,1236.680000000,2114
RTSI,0,20190322,100242,1236.680000000,1988
RTSI,0,20190322,100243,1236.700000000,5563
RTSI,0,20190322,100244,1236.720000000,22657
RTSI,0,20190322,100245,1236.740000000,925
RTSI,0,20190322,100246,1236.760000000,1219
RTSI,0,20190322,100247,1236.750000000,7915
RTSI,0,20190322,100248,1236.750000000,2539
RTSI,0,20190322,100249,1236.780000000,4122
RTSI,0,20190322,100250,1236.760000000,3617
RTSI,0,20190322,100251,1236.760000000,5294
RTSI,0,20190322,100252,1236.750000000,21739
RTSI,0,20190322,100253,1236.740000000,3031
RTSI,0,20190322,100254,1236.690000000,41707
RTSI,0,20190322,100255,1236.430000000,117147
RTSI,0,20190322,100256,1236.440000000,12227
RTSI,0,20190322,100257,1236.320000000,30524
RTSI,0,20190322,100258,1236.320000000,17228
RTSI,0,20190322,100259,1236.320000000,719
RTSI,0,20190322,100300,1236.250000000,79934
RTSI,0,20190322,100301,1236.450000000,22303
RTSI,0,20190322,100302,1236.250000000,58879
RTSI,0,20190322,100303,1236.290000000,97613
RTSI,0,20190322,100304,1236.300000000,5975
RTSI,0,20190322,100305,1236.280000000,2120
RTSI,0,20190322,100306,1236.270000000,33364
RTSI,0,20190322,100307,1236.290000000,10221
RTSI,0,20190322,100308,1236.250000000,9583
RTSI,0,20190322,100309,1236.360000000,20503
RTSI,0,20190322,100310,1236.320000000,6026
RTSI,0,20190322,100311,1236.100000000,65843
RTSI,0,20190322,100312,1235.910000000,25340
RTSI,0,20190322,100313,1235.910000000,26850
RTSI,0,20190322,100314,1235.920000000,6660
RTSI,0,20190322,100315,1235.900000000,10019
RTSI,0,20190322,100316,1235.850000000,34917
RTSI,0,20190322,100317,1235.840000000,3801
RTSI,0,20190322,100318,1235.870000000,21381
RTSI,0,20190322,100319,1235.870000000,1054
RTSI,0,20190322,100320,1235.940000000,162578
RTSI,0,20190322,100321,1235.940000000,872
RTSI,0,20190322,100322,1236.070000000,8293
RTSI,0,20190322,100323,1236.000000000,5994
RTSI,0,20190322,100324,1236.000000000,8264
RTSI,0,20190322,100325,1236.060000000,7985
RTSI,0,20190322,100326,1236.090000000,40427
RTSI,0,20190322,100327,1236.050000000,4279
RTSI,0,20190322,100328,1236.000000000,6084
RTSI,0,20190322,100329,1235.950000000,519
RTSI,0,20190322,100330,1235.940000000,35704
RTSI,0,20190322,100331,1235.920000000,4527
RTSI,0,20190322,100332,1235.940000000,30680
RTSI,0,20190322,100333,1235.940000000,5804
RTSI,0,20190322,100334,1235.940000000,12858
RTSI,0,20190322,100335,1235.990000000,4049
RTSI,0,20190322,100336,1235.970000000,6708
RTSI,0,20190322,100337,1235.980000000,27848
RTSI,0,20190322,100338,1235.900000000,101201
RTSI,0,20190322,100339,1235.760000000,32752
RTSI,0,20190322,100340,1235.780000000,4375
RTSI,0,20190322,100341,1235.720000000,9103
RTSI,0,20190322,100342,1235.710000000,0
RTSI,0,20190322,100343,1235.820000000,25215
RTSI,0,20190322,100344,1235.940000000,69648
RTSI,0,20190322,100345,1235.880000000,13176
RTSI,0,20190322,100346,1235.780000000,36508
RTSI,0,20190322,100347,1235.780000000,2936
RTSI,0,20190322,100348,1235.870000000,10691
RTSI,0,20190322,100349,1235.850000000,33657
RTSI,0,20190322,100350,1235.880000000,3707
RTSI,0,20190322,100351,1235.880000000,397
RTSI,0,20190322,100352,1235.830000000,12517
RTSI,0,20190322,100353,1235.830000000,159
RTSI,0,20190322,100354,1235.810000000,9036
RTSI,0,20190322,100355,1235.840000000,13764
RTSI,0,20190322,100356,1235.710000000,13461
RTSI,0,20190322,100357,1235.770000000,11167
RTSI,0,20190322,100358,1235.800000000,10165
RTSI,0,20190322,100359,1235.820000000,10859
RTSI,0,20190322,100400,1235.710000000,105496
RTSI,0,20190322,100401,1235.680000000,16491
RTSI,0,20190322,100402,1235.660000000,5161
RTSI,0,20190322,100403,1235.670000000,2104
RTSI,0,20190322,100404,1235.760000000,1508
RTSI,0,20190322,100405,1235.750000000,4931
RTSI,0,20190322,100406,1235.790000000,4733
RTSI,0,20190322,100407,1235.730000000,12404
RTSI,0,20190322,100408,1235.670000000,7891
RTSI,0,20190322,100409,1235.700000000,1511
RTSI,0,20190322,100410,1235.760000000,7358
RTSI,0,20190322,100411,1235.780000000,911
RTSI,0,20190322,100412,1235.780000000,0
RTSI,0,20190322,100413,1235.800000000,1844
RTSI,0,20190322,100414,1235.760000000,7015
RTSI,0,20190322,100415,1235.820000000,14026
RTSI,0,20190322,100416,1235.800000000,22502
RTSI,0,20190322,100417,1235.730000000,37278
RTSI,0,20190322,100418,1235.620000000,19265
RTSI,0,20190322,100419,1235.680000000,10540
RTSI,0,20190322,100420,1235.790000000,5777
RTSI,0,20190322,100421,1235.790000000,3325
RTSI,0,20190322,100422,1235.780000000,22755
RTSI,0,20190322,100423,1235.820000000,42247
RTSI,0,20190322,100424,1235.760000000,119013
RTSI,0,20190322,100425,1235.740000000,10261
RTSI,0,20190322,100426,1235.720000000,871
RTSI,0,20190322,100427,1235.720000000,1810
RTSI,0,20190322,100428,1235.750000000,953
RTSI,0,20190322,100429,1235.890000000,18272
RTSI,0,20190322,100430,1235.850000000,4372
RTSI,0,20190322,100431,1235.850000000,2094
RTSI,0,20190322,100432,1235.860000000,8877
RTSI,0,20190322,100433,1235.850000000,1735
RTSI,0,20190322,100434,1235.780000000,34650
RTSI,0,20190322,100435,1235.780000000,3216
RTSI,0,20190322,100436,1235.790000000,6106
RTSI,0,20190322,100437,1235.800000000,9237
RTSI,0,20190322,100438,1235.810000000,4766
RTSI,0,20190322,100439,1235.860000000,10986
RTSI,0,20190322,100440,1235.860000000,544
RTSI,0,20190322,100441,1235.890000000,8971
RTSI,0,20190322,100442,1235.930000000,5723
RTSI,0,20190322,100443,1235.960000000,266
RTSI,0,20190322,100444,1235.970000000,4923
RTSI,0,20190322,100445,1235.970000000,8721
RTSI,0,20190322,100446,1235.910000000,11262
RTSI,0,20190322,100447,1235.910000000,0
RTSI,0,20190322,100448,1236.000000000,40734
RTSI,0,20190322,100449,1235.930000000,51371
RTSI,0,20190322,100450,1235.940000000,2795
RTSI,0,20190322,100451,1235.930000000,4805
RTSI,0,20190322,100452,1236.020000000,46254
RTSI,0,20190322,100453,1236.050000000,2512
RTSI,0,20190322,100454,1236.010000000,7613
RTSI,0,20190322,100455,1236.020000000,10576
RTSI,0,20190322,100456,1236.020000000,2259
RTSI,0,20190322,100457,1236.020000000,1300
RTSI,0,20190322,100458,1236.010000000,5219
RTSI,0,20190322,100459,1235.920000000,10641
RTSI,0,20190322,100500,1235.920000000,3326
RTSI,0,20190322,100501,1235.850000000,91069
RTSI,0,20190322,100502,1235.880000000,10579
RTSI,0,20190322,100503,1235.860000000,14121
RTSI,0,20190322,100504,1235.840000000,17206
RTSI,0,20190322,100505,1235.850000000,10068
RTSI,0,20190322,100506,1235.830000000,1912
RTSI,0,20190322,100507,1235.660000000,1719
RTSI,0,20190322,100508,1235.440000000,59661
RTSI,0,20190322,100509,1235.500000000,5628
RTSI,0,20190322,100510,1235.530000000,525
RTSI,0,20190322,100511,1235.550000000,23641
RTSI,0,20190322,100512,1235.550000000,20149
RTSI,0,20190322,100513,1235.550000000,12544
RTSI,0,20190322,100514,1235.570000000,5623
RTSI,0,20190322,100515,1235.560000000,4937
RTSI,0,20190322,100516,1235.650000000,114
RTSI,0,20190322,100517,1235.630000000,5209
RTSI,0,20190322,100518,1235.630000000,3193
RTSI,0,20190322,100519,1235.660000000,12702
RTSI,0,20190322,100520,1235.620000000,14926
RTSI,0,20190322,100521,1235.580000000,692
RTSI,0,20190322,100522,1235.580000000,5803
RTSI,0,20190322,100523,1235.270000000,85240
RTSI,0,20190322,100524,1235.370000000,1781
RTSI,0,20190322,100525,1235.370000000,22
RTSI,0,20190322,100526,1235.330000000,3299
RTSI,0,20190322,100527,1235.240000000,62731
RTSI,0,20190322,100528,1235.210000000,107161
RTSI,0,20190322,100529,1235.190000000,113752
RTSI,0,20190322,100530,1235.180000000,59223
RTSI,0,20190322,100531,1235.100000000,6974
RTSI,0,20190322,100532,1235.170000000,77480
RTSI,0,20190322,100533,1235.240000000,12703
RTSI,0,20190322,100534,1235.250000000,7339
RTSI,0,20190322,100535,1235.220000000,26814
RTSI,0,20190322,100536,1235.190000000,7680
RTSI,0,20190322,100537,1235.160000000,91573
RTSI,0,20190322,100538,1235.100000000,137204
RTSI,0,20190322,100539,1235.000000000,17415
RTSI,0,20190322,100540,1235.010000000,7363
RTSI,0,20190322,100541,1234.920000000,190534
RTSI,0,20190322,100542,1235.020000000,21571
RTSI,0,20190322,100543,1235.000000000,35645
RTSI,0,20190322,100544,1235.030000000,13694
RTSI,0,20190322,100545,1235.010000000,23383
RTSI,0,20190322,100546,1235.010000000,37968
RTSI,0,20190322,100547,1235.030000000,7845
RTSI,0,20190322,100548,1235.050000000,11270
RTSI,0,20190322,100549,1235.040000000,20398
RTSI,0,20190322,100550,1235.210000000,30484
RTSI,0,20190322,100551,1235.180000000,22822
RTSI,0,20190322,100552,1235.190000000,12102
RTSI,0,20190322,100553,1235.190000000,41
RTSI,0,20190322,100554,1235.090000000,16093
RTSI,0,20190322,100555,1235.090000000,8654
RTSI,0,20190322,100556,1235.120000000,16153
RTSI,0,20190322,100557,1235.070000000,21378
RTSI,0,20190322,100558,1235.030000000,19706
RTSI,0,20190322,100559,1235.030000000,2801
RTSI,0,20190322,100600,1235.100000000,17694
RTSI,0,20190322,100601,1235.010000000,51884
RTSI,0,20190322,100602,1234.940000000,11513
RTSI,0,20190322,100603,1234.960000000,2936
RTSI,0,20190322,100604,1234.960000000,2213
RTSI,0,20190322,100605,1234.960000000,1101
RTSI,0,20190322,100606,1235.070000000,190191
RTSI,0,20190322,100607,1235.120000000,38163
RTSI,0,20190322,100608,1235.120000000,17255
RTSI,0,20190322,100609,1235.140000000,6434
RTSI,0,20190322,100610,1235.040000000,21442
RTSI,0,20190322,100611,1235.040000000,1734
RTSI,0,20190322,100612,1235.030000000,3773
RTSI,0,20190322,100613,1234.960000000,25818
RTSI,0,20190322,100614,1235.060000000,3760
RTSI,0,20190322,100615,1235.030000000,18995
RTSI,0,20190322,100616,1235.070000000,4062
RTSI,0,20190322,100617,1235.070000000,1640
RTSI,0,20190322,100618,1235.140000000,5212
RTSI,0,20190322,100619,1235.110000000,42452
RTSI,0,20190322,100620,1235.170000000,12608
RTSI,0,20190322,100621,1235.160000000,28690
RTSI,0,20190322,100622,1235.140000000,7278
RTSI,0,20190322,100623,1235.140000000,18638
RTSI,0,20190322,100624,1235.140000000,12508
RTSI,0,20190322,100625,1235.110000000,11947
RTSI,0,20190322,100626,1235.100000000,652
RTSI,0,20190322,100627,1235.090000000,2705
RTSI,0,20190322,100628,1235.100000000,14233
RTSI,0,20190322,100629,1235.090000000,5950
RTSI,0,20190322,100630,1235.250000000,42725
RTSI,0,20190322,100631,1235.260000000,16667
RTSI,0,20190322,100632,1235.370000000,79911
RTSI,0,20190322,100633,1235.360000000,1301
RTSI,0,20190322,100634,1235.380000000,40852
RTSI,0,20190322,100635,1235.370000000,19052
RTSI,0,20190322,100636,1235.390000000,729
RTSI,0,20190322,100637,1235.360000000,1668
RTSI,0,20190322,100638,1235.360000000,2363
RTSI,0,20190322,100639,1235.390000000,4817
RTSI,0,20190322,100640,1235.400000000,3346
RTSI,0,20190322,100641,1235.400000000,9975
RTSI,0,20190322,100642,1235.420000000,18737
RTSI,0,20190322,100643,1235.370000000,7062
RTSI,0,20190322,100644,1235.380000000,14878
RTSI,0,20190322,100645,1235.330000000,1841
RTSI,0,20190322,100646,1235.260000000,18384
RTSI,0,20190322,100647,1235.320000000,2113
RTSI,0,20190322,100648,1235.300000000,12842
RTSI,0,20190322,100649,1235.310000000,526
RTSI,0,20190322,100650,1235.320000000,14136
RTSI,0,20190322,100651,1235.310000000,1620
RTSI,0,20190322,100652,1235.230000000,36504
RTSI,0,20190322,100653,1235.240000000,3373
RTSI,0,20190322,100654,1235.250000000,7298
RTSI,0,20190322,100655,1235.170000000,6070
RTSI,0,20190322,100656,1235.190000000,41594
RTSI,0,20190322,100657,1235.180000000,25711
