<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
RTSI,0,20180914,100001,1088.940000000,24404
RTSI,0,20180914,100002,1088.910000000,262696
RTSI,0,20180914,100003,1088.520000000,113145
RTSI,0,20180914,100004,1087.610000000,228735
RTSI,0,20180914,100005,1087.950000000,125766
RTSI,0,20180914,100006,1087.630000000,235856
RTSI,0,20180914,100007,1087.620000000,177659
RTSI,0,20180914,100008,1087.740000000,44002
RTSI,0,20180914,100009,1087.650000000,55833
RTSI,0,20180914,100010,1087.550000000,121265
RTSI,0,20180914,100011,1087.080000000,204082
RTSI,0,20180914,100012,1087.240000000,121433
RTSI,0,20180914,100013,1087.990000000,234356
RTSI,0,20180914,100014,1088.170000000,108939
RTSI,0,20180914,100015,1088.240000000,23916
RTSI,0,20180914,100016,1088.100000000,44147
RTSI,0,20180914,100017,1087.910000000,40953
RTSI,0,20180914,100018,1087.760000000,32914
RTSI,0,20180914,100019,1087.910000000,11296
RTSI,0,20180914,100020,1087.830000000,37647
RTSI,0,20180914,100021,1087.880000000,71615
RTSI,0,20180914,100022,1087.680000000,50344
RTSI,0,20180914,100023,1087.480000000,474563
RTSI,0,20180914,100024,1087.380000000,20403
RTSI,0,20180914,100025,1087.450000000,56340
RTSI,0,20180914,100026,1087.120000000,91339
RTSI,0,20180914,100027,1087.310000000,63307
RTSI,0,20180914,100028,1087.210000000,30141
RTSI,0,20180914,100029,1087.180000000,47439
RTSI,0,20180914,100030,1086.910000000,180118
RTSI,0,20180914,100031,1086.690000000,56345
RTSI,0,20180914,100032,1087.710000000,65379
RTSI,0,20180914,100033,1087.880000000,121242
RTSI,0,20180914,100034,1087.920000000,25361
RTSI,0,20180914,100035,1087.850000000,104467
RTSI,0,20180914,100036,1087.980000000,85105
RTSI,0,20180914,100037,1087.980000000,13220
RTSI,0,20180914,100038,1088.000000000,101496
RTSI,0,20180914,100039,1087.960000000,55361
RTSI,0,20180914,100040,1088.010000000,119147
RTSI,0,20180914,100041,1088.320000000,68928
RTSI,0,20180914,100042,1088.260000000,33256
RTSI,0,20180914,100043,1088.320000000,97733
RTSI,0,20180914,100044,1088.110000000,45492
RTSI,0,20180914,100045,1088.360000000,75525
RTSI,0,20180914,100046,1088.500000000,78525
RTSI,0,20180914,100047,1088.730000000,44026
RTSI,0,20180914,100048,1088.770000000,105295
RTSI,0,20180914,100049,1088.900000000,188909
RTSI,0,20180914,100050,1089.260000000,424564
RTSI,0,20180914,100051,1089.290000000,209105
RTSI,0,20180914,100052,1089.190000000,366749
RTSI,0,20180914,100053,1089.030000000,91239
RTSI,0,20180914,100054,1089.310000000,71817
RTSI,0,20180914,100055,1089.250000000,35369
RTSI,0,20180914,100056,1089.400000000,74493
RTSI,0,20180914,100057,1089.380000000,57679
RTSI,0,20180914,100058,1089.520000000,131078
RTSI,0,20180914,100059,1089.650000000,71150
RTSI,0,20180914,100100,1089.550000000,136121
RTSI,0,20180914,100101,1089.870000000,48806
RTSI,0,20180914,100102,1089.650000000,50318
RTSI,0,20180914,100103,1089.300000000,115274
RTSI,0,20180914,100104,1089.410000000,101510
RTSI,0,20180914,100105,1089.100000000,387643
RTSI,0,20180914,100106,1089.040000000,234601
RTSI,0,20180914,100107,1089.190000000,33112
RTSI,0,20180914,100108,1089.340000000,51832
RTSI,0,20180914,100109,1089.330000000,26925
RTSI,0,20180914,100110,1089.240000000,43808
RTSI,0,20180914,100111,1089.230000000,16521
RTSI,0,20180914,100112,1089.230000000,2449
RTSI,0,20180914,100113,1089.080000000,69340
RTSI,0,20180914,100114,1088.980000000,116792
RTSI,0,20180914,100115,1089.120000000,80515
RTSI,0,20180914,100116,1089.180000000,59952
RTSI,0,20180914,100117,1089.080000000,22007
RTSI,0,20180914,100118,1089.190000000,59350
RTSI,0,20180914,100119,1089.180000000,96312
RTSI,0,20180914,100120,1089.250000000,76285
RTSI,0,20180914,100121,1089.030000000,191199
RTSI,0,20180914,100122,1089.060000000,67495
RTSI,0,20180914,100123,1089.110000000,30562
RTSI,0,20180914,100124,1089.180000000,21564
RTSI,0,20180914,100125,1088.980000000,23192
RTSI,0,20180914,100126,1088.980000000,33257
