<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
RTSI,0,20161216,100001,1142.630000000,84605
RTSI,0,20161216,100002,1143.980000000,249698
RTSI,0,20161216,100003,1144.970000000,162248
RTSI,0,20161216,100004,1145.230000000,105196
RTSI,0,20161216,100005,1145.790000000,156842
RTSI,0,20161216,100006,1145.950000000,72359
RTSI,0,20161216,100007,1145.610000000,212345
RTSI,0,20161216,100008,1145.790000000,98125
RTSI,0,20161216,100009,1145.920000000,37708
RTSI,0,20161216,100010,1146.300000000,97256
RTSI,0,20161216,100011,1145.950000000,74088
RTSI,0,20161216,100012,1145.770000000,41922
RTSI,0,20161216,100013,1145.950000000,100913
RTSI,0,20161216,100014,1145.940000000,20892
RTSI,0,20161216,100015,1146.200000000,42975
RTSI,0,20161216,100016,1146.560000000,64975
RTSI,0,20161216,100017,1146.580000000,32200
RTSI,0,20161216,100018,1146.500000000,151218
RTSI,0,20161216,100019,1146.900000000,110115
RTSI,0,20161216,100020,1146.680000000,86755
RTSI,0,20161216,100021,1146.520000000,28268
RTSI,0,20161216,100022,1146.970000000,66235
RTSI,0,20161216,100023,1146.870000000,38774
RTSI,0,20161216,100024,1146.800000000,29345
RTSI,0,20161216,100025,1147.020000000,44466
RTSI,0,20161216,100026,1147.110000000,96281
RTSI,0,20161216,100027,1146.990000000,27722
RTSI,0,20161216,100028,1147.060000000,31547
RTSI,0,20161216,100029,1147.070000000,33725
RTSI,0,20161216,100030,1147.020000000,42750
RTSI,0,20161216,100031,1146.410000000,66034
RTSI,0,20161216,100032,1146.350000000,169446
RTSI,0,20161216,100033,1146.200000000,20147
RTSI,0,20161216,100034,1146.170000000,36743
RTSI,0,20161216,100035,1146.170000000,46595
RTSI,0,20161216,100036,1146.190000000,61292
RTSI,0,20161216,100037,1146.100000000,215057
RTSI,0,20161216,100038,1146.010000000,24361
RTSI,0,20161216,100039,1145.840000000,14178
RTSI,0,20161216,100041,1145.720000000,134757
RTSI,0,20161216,100042,1145.750000000,28467
RTSI,0,20161216,100043,1145.660000000,41988
RTSI,0,20161216,100044,1145.710000000,33807
RTSI,0,20161216,100045,1145.770000000,58975
RTSI,0,20161216,100046,1145.630000000,20903
RTSI,0,20161216,100047,1145.550000000,12298
RTSI,0,20161216,100048,1145.540000000,71725
RTSI,0,20161216,100049,1145.530000000,23071
RTSI,0,20161216,100050,1145.390000000,24315
RTSI,0,20161216,100051,1146.080000000,138981
RTSI,0,20161216,100052,1146.070000000,9277
RTSI,0,20161216,100053,1145.990000000,11910
RTSI,0,20161216,100054,1146.170000000,61708
RTSI,0,20161216,100055,1146.010000000,42420
RTSI,0,20161216,100056,1145.930000000,15470
RTSI,0,20161216,100057,1145.850000000,9708
RTSI,0,20161216,100058,1145.720000000,8619
RTSI,0,20161216,100059,1146.350000000,227153
RTSI,0,20161216,100100,1145.940000000,41722
RTSI,0,20161216,100101,1146.220000000,157715
RTSI,0,20161216,100102,1146.130000000,41701
RTSI,0,20161216,100103,1146.450000000,62857
RTSI,0,20161216,100104,1146.450000000,100214
RTSI,0,20161216,100105,1146.540000000,73294
RTSI,0,20161216,100106,1146.340000000,77127
RTSI,0,20161216,100107,1146.290000000,46218
RTSI,0,20161216,100108,1146.560000000,101468
RTSI,0,20161216,100109,1146.620000000,101400
RTSI,0,20161216,100110,1146.520000000,27176
RTSI,0,20161216,100111,1146.410000000,9064
RTSI,0,20161216,100112,1146.210000000,9645
RTSI,0,20161216,100113,1146.520000000,31377
RTSI,0,20161216,100114,1146.610000000,22327
RTSI,0,20161216,100115,1146.590000000,19193
RTSI,0,20161216,100116,1146.520000000,30485
RTSI,0,20161216,100117,1146.410000000,28520
RTSI,0,20161216,100118,1146.340000000,67149
RTSI,0,20161216,100119,1146.280000000,9617
RTSI,0,20161216,100120,1146.350000000,33826
RTSI,0,20161216,100121,1146.310000000,96989
RTSI,0,20161216,100122,1146.290000000,5265
RTSI,0,20161216,100123,1146.390000000,64277
RTSI,0,20161216,100124,1146.400000000,36019
RTSI,0,20161216,100125,1146.400000000,148019
RTSI,0,20161216,100126,1146.220000000,121538
RTSI,0,20161216,100127,1146.330000000,25194
RTSI,0,20161216,100128,1146.340000000,33447
RTSI,0,20161216,100129,1146.310000000,30886
RTSI,0,20161216,100130,1146.260000000,26933
RTSI,0,20161216,100131,1146.320000000,13157
RTSI,0,20161216,100132,1146.300000000,23123
RTSI,0,20161216,100133,1146.420000000,23948
RTSI,0,20161216,100134,1146.350000000,11787
RTSI,0,20161216,100135,1146.360000000,2940
RTSI,0,20161216,100136,1146.460000000,28212
RTSI,0,20161216,100137,1146.460000000,17568
RTSI,0,20161216,100138,1146.670000000,83637
RTSI,0,20161216,100139,1146.770000000,23164
RTSI,0,20161216,100140,1146.770000000,7045
RTSI,0,20161216,100141,1146.930000000,76008
RTSI,0,20161216,100142,1146.890000000,111322
RTSI,0,20161216,100143,1146.860000000,23140
RTSI,0,20161216,100144,1146.810000000,5845
