<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
RTSI,0,20181214,100002,1129.080000000,147740
RTSI,0,20181214,100003,1128.730000000,402932
RTSI,0,20181214,100004,1128.390000000,159559
RTSI,0,20181214,100005,1128.670000000,241426
RTSI,0,20181214,100006,1128.740000000,33016
RTSI,0,20181214,100007,1128.780000000,94784
RTSI,0,20181214,100008,1128.710000000,50097
RTSI,0,20181214,100009,1128.460000000,419360
RTSI,0,20181214,100010,1128.150000000,326171
RTSI,0,20181214,100011,1128.230000000,300524
RTSI,0,20181214,100012,1128.480000000,38403
RTSI,0,20181214,100013,1128.650000000,132252
RTSI,0,20181214,100014,1128.470000000,90079
RTSI,0,20181214,100015,1128.560000000,61819
RTSI,0,20181214,100016,1128.460000000,24454
RTSI,0,20181214,100017,1128.780000000,30134
RTSI,0,20181214,100018,1128.900000000,53378
RTSI,0,20181214,100019,1128.810000000,16103
RTSI,0,20181214,100020,1128.910000000,31930
RTSI,0,20181214,100021,1128.840000000,11967
RTSI,0,20181214,100022,1129.020000000,16531
RTSI,0,20181214,100023,1128.670000000,18932
RTSI,0,20181214,100024,1128.640000000,46876
RTSI,0,20181214,100025,1128.770000000,14785
RTSI,0,20181214,100026,1128.800000000,11206
RTSI,0,20181214,100027,1128.810000000,172646
RTSI,0,20181214,100028,1128.840000000,22644
RTSI,0,20181214,100029,1128.880000000,48389
RTSI,0,20181214,100030,1128.630000000,28363
RTSI,0,20181214,100031,1128.860000000,51209
RTSI,0,20181214,100032,1128.510000000,20826
RTSI,0,20181214,100033,1128.570000000,26291
RTSI,0,20181214,100034,1128.610000000,12415
RTSI,0,20181214,100035,1128.520000000,3897
RTSI,0,20181214,100036,1128.480000000,35889
RTSI,0,20181214,100037,1128.400000000,4505
RTSI,0,20181214,100038,1128.310000000,22158
RTSI,0,20181214,100039,1128.460000000,10982
RTSI,0,20181214,100040,1128.430000000,11760
RTSI,0,20181214,100041,1128.240000000,76443
RTSI,0,20181214,100042,1128.260000000,20850
RTSI,0,20181214,100043,1128.240000000,18312
RTSI,0,20181214,100044,1128.410000000,19700
RTSI,0,20181214,100045,1128.470000000,16852
RTSI,0,20181214,100046,1128.330000000,13550
RTSI,0,20181214,100047,1128.290000000,8692
RTSI,0,20181214,100048,1128.310000000,14018
RTSI,0,20181214,100049,1128.360000000,1586
RTSI,0,20181214,100050,1128.490000000,93757
RTSI,0,20181214,100051,1128.420000000,3795
RTSI,0,20181214,100052,1128.410000000,10021
RTSI,0,20181214,100053,1128.370000000,12306
RTSI,0,20181214,100054,1128.290000000,42296
RTSI,0,20181214,100055,1128.290000000,2738
RTSI,0,20181214,100056,1128.250000000,841
RTSI,0,20181214,100057,1128.300000000,20444
RTSI,0,20181214,100058,1128.350000000,21394
RTSI,0,20181214,100059,1128.280000000,91246
RTSI,0,20181214,100100,1128.510000000,9855
RTSI,0,20181214,100101,1128.540000000,139742
RTSI,0,20181214,100102,1128.400000000,56103
RTSI,0,20181214,100103,1128.340000000,16440
RTSI,0,20181214,100104,1128.370000000,13599
RTSI,0,20181214,100105,1128.300000000,916
RTSI,0,20181214,100106,1128.270000000,5138
RTSI,0,20181214,100107,1128.050000000,41592
RTSI,0,20181214,100108,1127.800000000,36258
RTSI,0,20181214,100109,1127.770000000,12337
RTSI,0,20181214,100110,1127.940000000,26943
RTSI,0,20181214,100111,1127.820000000,166827
RTSI,0,20181214,100112,1127.770000000,9809
RTSI,0,20181214,100113,1127.750000000,39324
RTSI,0,20181214,100114,1127.520000000,4172
RTSI,0,20181214,100115,1127.510000000,5767
RTSI,0,20181214,100116,1127.480000000,10030
RTSI,0,20181214,100117,1127.370000000,56181
RTSI,0,20181214,100118,1127.440000000,292
RTSI,0,20181214,100119,1127.330000000,39669
RTSI,0,20181214,100120,1127.390000000,13917
RTSI,0,20181214,100121,1127.390000000,15061
RTSI,0,20181214,100122,1127.320000000,3734
RTSI,0,20181214,100123,1127.170000000,3895
RTSI,0,20181214,100124,1127.130000000,8955
RTSI,0,20181214,100125,1126.910000000,50576
RTSI,0,20181214,100126,1126.830000000,48551
RTSI,0,20181214,100127,1126.900000000,17428
RTSI,0,20181214,100128,1126.810000000,9576
RTSI,0,20181214,100129,1126.800000000,24319
RTSI,0,20181214,100130,1126.650000000,5223
RTSI,0,20181214,100131,1126.650000000,12714
RTSI,0,20181214,100132,1126.590000000,5984
RTSI,0,20181214,100133,1126.560000000,6679
RTSI,0,20181214,100134,1126.540000000,7929
RTSI,0,20181214,100135,1126.460000000,5569
RTSI,0,20181214,100136,1126.370000000,13586
RTSI,0,20181214,100137,1126.360000000,21481
RTSI,0,20181214,100138,1126.370000000,63712
