<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20180914,112200,1086.4800000,1087.3000000,1086.4600000,1087.1900000,1201763
RTSI,1,20180914,112300,1087.2500000,1087.2700000,1087.0400000,1087.1600000,1730778
RTSI,1,20180914,112400,1087.1600000,1087.3700000,1086.9400000,1087.3700000,453986
RTSI,1,20180914,112500,1087.3800000,1087.5000000,1087.1700000,1087.4800000,463493
RTSI,1,20180914,112600,1087.4800000,1087.5100000,1087.3300000,1087.3900000,640933
RTSI,1,20180914,112700,1087.3800000,1087.4100000,1087.2200000,1087.2500000,569821
RTSI,1,20180914,112800,1087.2600000,1087.2600000,1086.6300000,1086.6300000,1046059
RTSI,1,20180914,112900,1086.5100000,1086.5700000,1086.2900000,1086.4300000,2171336
RTSI,1,20180914,113000,1086.3900000,1086.5800000,1086.3000000,1086.3900000,1338165
RTSI,1,20180914,113100,1086.3800000,1086.6000000,1085.7700000,1085.7800000,1655939
RTSI,1,20180914,113200,1085.7500000,1085.9100000,1085.5900000,1085.7900000,1139713
RTSI,1,20180914,113300,1085.7900000,1085.7900000,1085.1800000,1085.5200000,3370660
RTSI,1,20180914,113400,1085.5500000,1085.7700000,1085.1800000,1085.2500000,1278597
RTSI,1,20180914,113500,1085.2100000,1085.2600000,1084.9500000,1085.1400000,1634007
RTSI,1,20180914,113600,1085.1400000,1085.1400000,1084.7000000,1085.0600000,3498075
RTSI,1,20180914,113700,1085.1100000,1085.5800000,1085.1000000,1085.3800000,2258825
RTSI,1,20180914,113800,1085.4400000,1085.5100000,1084.9900000,1085.0600000,840065
RTSI,1,20180914,113900,1085.0700000,1085.4900000,1084.8000000,1085.4900000,1321547
RTSI,1,20180914,114000,1085.4800000,1085.5100000,1085.2900000,1085.4900000,447287
RTSI,1,20180914,114100,1085.5400000,1085.7300000,1085.3900000,1085.7000000,761743
RTSI,1,20180914,114200,1085.7000000,1085.7500000,1085.5400000,1085.6800000,296955
RTSI,1,20180914,114300,1085.7000000,1085.8200000,1085.5900000,1085.8000000,1024508
RTSI,1,20180914,114400,1085.8000000,1085.8100000,1085.2700000,1085.4200000,445284
RTSI,1,20180914,114500,1085.4000000,1085.5600000,1085.1500000,1085.1500000,796387
RTSI,1,20180914,114600,1085.1100000,1085.3400000,1084.9200000,1085.2700000,447716
RTSI,1,20180914,114700,1085.3100000,1085.3500000,1084.9500000,1085.0700000,461967
RTSI,1,20180914,114800,1085.0700000,1085.4000000,1085.0700000,1085.2400000,963510
RTSI,1,20180914,114900,1085.2500000,1085.5700000,1085.2400000,1085.2500000,982927
RTSI,1,20180914,115000,1085.0400000,1085.0400000,1083.7500000,1083.8300000,1619895
RTSI,1,20180914,115100,1083.8200000,1084.1300000,1083.4700000,1084.1300000,973384
RTSI,1,20180914,115200,1084.1100000,1084.2400000,1083.8100000,1083.9100000,367803
RTSI,1,20180914,115300,1083.8100000,1083.8200000,1083.2300000,1083.4300000,697347
RTSI,1,20180914,115400,1083.4200000,1083.5300000,1083.2900000,1083.5100000,362964
RTSI,1,20180914,115500,1083.5100000,1083.5500000,1083.4300000,1083.4500000,654261
RTSI,1,20180914,115600,1083.4300000,1083.4400000,1082.8200000,1082.9100000,1760945
RTSI,1,20180914,115700,1082.8400000,1083.0200000,1082.7400000,1082.8900000,808121
RTSI,1,20180914,115800,1082.8500000,1082.8700000,1081.6600000,1081.6600000,2527957
RTSI,1,20180914,115900,1081.7200000,1081.9900000,1081.4500000,1081.8200000,2091325
