<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20190322,100100,1237.0000000,1237.5500000,1236.2700000,1237.4900000,2057564
RTSI,1,20190322,100200,1237.6200000,1237.6200000,1236.7400000,1237.0400000,1260771
RTSI,1,20190322,100300,1236.9900000,1237.0800000,1236.3200000,1236.3200000,1089690
RTSI,1,20190322,100400,1236.2500000,1236.4500000,1235.7100000,1235.8200000,1340353
RTSI,1,20190322,100500,1235.7100000,1236.0500000,1235.6200000,1235.9200000,820781
RTSI,1,20190322,100600,1235.9200000,1235.9200000,1234.9200000,1235.0300000,1663643
RTSI,1,20190322,100700,1235.1000000,1235.4200000,1234.9400000,1235.2000000,1084081
RTSI,1,20190322,100800,1235.2000000,1236.1700000,1235.2000000,1236.1700000,1746950
RTSI,1,20190322,100900,1236.1900000,1236.4700000,1235.8400000,1235.9300000,976993
RTSI,1,20190322,101000,1235.9400000,1236.3400000,1235.7800000,1236.3400000,657275
RTSI,1,20190322,101100,1236.3200000,1236.5300000,1235.8900000,1236.4100000,591592
RTSI,1,20190322,101200,1236.4100000,1236.6400000,1236.2500000,1236.6200000,548295
RTSI,1,20190322,101300,1236.6200000,1236.7300000,1236.5800000,1236.6200000,425188
RTSI,1,20190322,101400,1236.5600000,1236.7800000,1236.4300000,1236.7600000,419400
RTSI,1,20190322,101500,1236.7600000,1236.9600000,1236.0100000,1236.4000000,1211753
RTSI,1,20190322,101600,1236.4000000,1236.4700000,1235.5600000,1235.9000000,997737
RTSI,1,20190322,101700,1235.8300000,1236.4500000,1235.8300000,1236.4000000,1313907
RTSI,1,20190322,101800,1236.3900000,1236.4600000,1236.2000000,1236.3800000,836745
RTSI,1,20190322,101900,1236.3700000,1236.6600000,1236.3700000,1236.5700000,430736
RTSI,1,20190322,102000,1236.6000000,1236.9300000,1236.5900000,1236.7800000,446627
RTSI,1,20190322,102100,1236.7600000,1236.9500000,1236.4000000,1236.4000000,1146089
RTSI,1,20190322,102200,1236.3900000,1236.5100000,1236.2500000,1236.4500000,528067
RTSI,1,20190322,102300,1236.4700000,1236.5100000,1236.1800000,1236.4000000,535060
RTSI,1,20190322,102400,1236.4000000,1236.4400000,1235.8500000,1235.8500000,395074
RTSI,1,20190322,102500,1235.8500000,1236.3500000,1235.4100000,1235.8600000,1347191
RTSI,1,20190322,102600,1235.8700000,1237.1300000,1235.7400000,1236.9900000,1041358
RTSI,1,20190322,102700,1236.9700000,1236.9800000,1236.4100000,1236.5900000,355898
RTSI,1,20190322,102800,1236.6500000,1236.7900000,1236.3100000,1236.3200000,836036
RTSI,1,20190322,102900,1236.3100000,1236.5300000,1236.3100000,1236.4700000,252005
RTSI,1,20190322,103000,1236.4500000,1236.5300000,1236.3800000,1236.4000000,144575
RTSI,1,20190322,103100,1236.4000000,1236.5300000,1236.4000000,1236.4900000,133654
RTSI,1,20190322,103200,1236.5400000,1236.5400000,1236.3300000,1236.4200000,170466
RTSI,1,20190322,103300,1236.4300000,1236.5300000,1236.3900000,1236.4700000,485738
RTSI,1,20190322,103400,1236.4700000,1236.4900000,1235.5700000,1235.7600000,895051
RTSI,1,20190322,103500,1235.7600000,1236.2000000,1235.7600000,1236.1500000,622195
RTSI,1,20190322,103600,1236.2300000,1236.3400000,1236.1700000,1236.2600000,477191
RTSI,1,20190322,103700,1236.2600000,1236.9900000,1236.2600000,1236.9300000,264633
