<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20170616,100100,990.0400000,992.3000000,990.0400000,992.1700000,3878677
RTSI,1,20170616,100200,992.3200000,995.1300000,991.9700000,995.1300000,5609723
RTSI,1,20170616,100300,995.2600000,995.4400000,994.6100000,994.6400000,3703595
RTSI,1,20170616,100400,994.6600000,995.0600000,994.4300000,994.8100000,2653973
RTSI,1,20170616,100500,994.7700000,995.7400000,994.7700000,995.7200000,1903090
RTSI,1,20170616,100600,995.8200000,995.9200000,995.1600000,995.4200000,2642627
RTSI,1,20170616,100700,995.3900000,995.6300000,995.1200000,995.5500000,2144906
RTSI,1,20170616,100800,995.5600000,995.6000000,994.7000000,994.7000000,2360644
RTSI,1,20170616,100900,994.7100000,995.2300000,994.3700000,995.0900000,1953258
RTSI,1,20170616,101000,995.0500000,995.8600000,995.0000000,995.6600000,2271000
RTSI,1,20170616,101100,995.6600000,995.9100000,994.4900000,994.4900000,2205430
RTSI,1,20170616,101200,994.4400000,995.5400000,994.4400000,995.2700000,1828705
RTSI,1,20170616,101300,995.3200000,995.3200000,994.1900000,994.7300000,1588240
RTSI,1,20170616,101400,994.7200000,995.5100000,994.7000000,995.1500000,1586522
RTSI,1,20170616,101500,995.1400000,995.5100000,994.4900000,994.7600000,1221204
RTSI,1,20170616,101600,994.7800000,995.7200000,994.3900000,995.3000000,2845034
RTSI,1,20170616,101700,995.3800000,996.7600000,995.3400000,996.7500000,3294235
RTSI,1,20170616,101800,996.5200000,996.5500000,995.8000000,995.9300000,2156613
RTSI,1,20170616,101900,995.9500000,997.1600000,995.6900000,997.1600000,2919246
RTSI,1,20170616,102000,997.2300000,998.3700000,997.2300000,998.3700000,3533464
RTSI,1,20170616,102100,998.3800000,999.0500000,997.7400000,997.8800000,4237769
RTSI,1,20170616,102200,997.7900000,998.1800000,997.4300000,997.4900000,2073876
RTSI,1,20170616,102300,997.5200000,998.1700000,997.5000000,998.0600000,1214896
RTSI,1,20170616,102400,998.0200000,998.4800000,997.8600000,998.1800000,1930969
RTSI,1,20170616,102500,998.1600000,998.3600000,997.7200000,997.9900000,1772062
RTSI,1,20170616,102600,997.9700000,997.9700000,996.6600000,996.6600000,2588402
RTSI,1,20170616,102700,996.7100000,996.8300000,995.6900000,995.7300000,2385374
RTSI,1,20170616,102800,995.7900000,996.4400000,995.6800000,995.7300000,1500162
RTSI,1,20170616,102900,995.7600000,996.6000000,995.7600000,996.5500000,1253394
RTSI,1,20170616,103000,996.5000000,996.9200000,995.8600000,996.7300000,1889841
RTSI,1,20170616,103100,996.7900000,997.3700000,996.4200000,996.7600000,1629089
RTSI,1,20170616,103200,996.7900000,996.8200000,996.1300000,996.5700000,1544489
RTSI,1,20170616,103300,996.5400000,996.7500000,996.2000000,996.2500000,1051488
RTSI,1,20170616,103400,996.2300000,996.2300000,995.4300000,995.8400000,1294925
RTSI,1,20170616,103500,995.8400000,996.8100000,995.8400000,996.8100000,1679599
RTSI,1,20170616,103600,996.8600000,996.9900000,996.1100000,996.2300000,1458760
RTSI,1,20170616,103700,996.2200000,996.5700000,996.0900000,996.2900000,1147384
RTSI,1,20170616,103800,996.2600000,996.8000000,995.5300000,996.6600000,1979581
RTSI,1,20170616,103900,996.6700000,996.9600000,995.9800000,996.0300000,1665561
RTSI,1,20170616,104000,996.0400000,996.2200000,995.5400000,995.8900000,1168158
RTSI,1,20170616,104100,995.8900000,996.3400000,995.4600000,996.1700000,1987873
RTSI,1,20170616,104200,996.1600000,996.6900000,996.0900000,996.5200000,2306901
RTSI,1,20170616,104300,996.4800000,996.5100000,996.0400000,996.0800000,1143720
RTSI,1,20170616,104400,996.1500000,996.1700000,995.6500000,995.9800000,912401
RTSI,1,20170616,104500,995.9800000,996.5200000,995.8800000,996.3000000,1166632
RTSI,1,20170616,104600,996.2700000,996.3900000,995.8800000,995.9400000,1018997
RTSI,1,20170616,104700,995.9400000,996.5700000,995.7400000,996.4200000,1714305
RTSI,1,20170616,104800,996.4600000,997.6400000,996.4600000,997.4500000,1921476
RTSI,1,20170616,104900,997.4400000,998.1500000,997.4400000,997.7800000,1643371
RTSI,1,20170616,105000,997.8400000,998.3700000,997.7100000,998.3600000,1873178
RTSI,1,20170616,105100,998.3900000,998.6300000,997.3500000,997.3500000,1311030
RTSI,1,20170616,105200,997.3300000,997.4000000,997.0000000,997.0100000,983853
RTSI,1,20170616,105300,997.0100000,997.5900000,996.8600000,997.0300000,1153038
RTSI,1,20170616,105400,997.1200000,997.2900000,997.0300000,997.1100000,557088
RTSI,1,20170616,105500,997.1000000,997.1200000,996.3700000,996.6100000,1055696
RTSI,1,20170616,105600,996.5700000,997.7700000,996.5600000,997.7700000,1832838
RTSI,1,20170616,105700,997.8000000,997.9100000,997.1500000,997.4600000,1322524
RTSI,1,20170616,105800,997.4300000,997.7400000,997.0900000,997.7300000,1144142
RTSI,1,20170616,105900,997.7300000,997.9900000,997.3300000,997.3300000,1589135
RTSI,1,20170616,110000,997.3300000,997.3700000,996.9200000,997.2600000,1479267
RTSI,1,20170616,110100,997.2400000,997.3300000,996.6600000,996.8100000,1528224
RTSI,1,20170616,110200,996.8500000,997.1600000,996.6600000,996.6600000,858295
RTSI,1,20170616,110300,996.5600000,996.8800000,996.5100000,996.5100000,806039
RTSI,1,20170616,110400,996.4900000,996.8100000,996.3800000,996.6800000,458069
RTSI,1,20170616,110500,996.6800000,997.5900000,996.4700000,997.5600000,1114528
RTSI,1,20170616,110600,997.5500000,997.7000000,996.7500000,996.7800000,848803
RTSI,1,20170616,110700,996.7700000,997.0900000,996.7600000,997.0700000,446643
RTSI,1,20170616,110800,997.0600000,997.5100000,997.0300000,997.3900000,491626
RTSI,1,20170616,110900,997.4000000,998.2600000,997.4000000,998.0800000,750182
RTSI,1,20170616,111000,998.0900000,998.2900000,998.0300000,998.1600000,1147423
RTSI,1,20170616,111100,998.1600000,998.4100000,998.1300000,998.2100000,559523
RTSI,1,20170616,111200,998.2800000,998.3200000,997.7600000,997.9000000,646518
RTSI,1,20170616,111300,997.9100000,998.0200000,997.8100000,997.9600000,263918
RTSI,1,20170616,111400,997.9500000,997.9800000,997.7900000,997.8900000,385686
RTSI,1,20170616,111500,997.8900000,997.9100000,997.7400000,997.8500000,317429
RTSI,1,20170616,111600,997.8500000,998.1400000,997.8100000,998.0100000,700481
RTSI,1,20170616,111700,997.9900000,997.9900000,997.5700000,997.6400000,559531
RTSI,1,20170616,111800,997.6400000,997.7000000,997.5300000,997.6200000,508642
RTSI,1,20170616,111900,997.6200000,997.6500000,997.3200000,997.3500000,481781
RTSI,1,20170616,112000,997.3400000,997.7100000,997.3400000,997.6400000,356162
RTSI,1,20170616,112100,997.6500000,998.0200000,997.6200000,997.9200000,671242
RTSI,1,20170616,112200,997.9200000,998.1000000,996.7200000,996.7200000,1776015
RTSI,1,20170616,112300,996.7200000,997.0600000,996.6500000,996.9900000,536541
RTSI,1,20170616,112400,996.9700000,997.3600000,996.9400000,997.2900000,705655
RTSI,1,20170616,112500,997.2900000,998.1200000,997.2900000,998.0200000,2197495
RTSI,1,20170616,112600,998.0700000,998.4400000,998.0700000,998.4100000,1603392
RTSI,1,20170616,112700,998.3600000,998.6200000,998.1900000,998.4800000,968912
RTSI,1,20170616,112800,998.4700000,998.5000000,998.0700000,998.1100000,496088
RTSI,1,20170616,112900,998.0400000,998.3300000,998.0000000,998.0900000,656899
RTSI,1,20170616,113000,998.1400000,998.4000000,998.1300000,998.2400000,584526
RTSI,1,20170616,113100,998.2600000,998.3500000,998.0500000,998.0500000,529100
RTSI,1,20170616,113200,998.0500000,998.1600000,997.9100000,998.1400000,661495
RTSI,1,20170616,113300,998.1300000,998.2400000,997.8000000,997.8500000,414666
RTSI,1,20170616,113400,997.8600000,998.1700000,997.8600000,997.9700000,473505
RTSI,1,20170616,113500,997.9900000,998.1300000,997.8200000,998.1100000,834393
RTSI,1,20170616,113600,998.1400000,998.2600000,997.7500000,997.8000000,513842
RTSI,1,20170616,113700,997.8000000,998.0100000,997.5000000,997.7100000,780592
RTSI,1,20170616,113800,997.7400000,998.4000000,997.7400000,998.2300000,1616584
RTSI,1,20170616,113900,998.2800000,999.0100000,998.2800000,998.8600000,878734
RTSI,1,20170616,114000,998.8100000,998.8800000,998.3600000,998.3600000,667420
RTSI,1,20170616,114100,998.3700000,998.7400000,998.3700000,998.7200000,533306
RTSI,1,20170616,114200,998.7100000,998.8800000,998.6400000,998.7300000,267921
RTSI,1,20170616,114300,998.7300000,998.8400000,998.4800000,998.6400000,576244
RTSI,1,20170616,114400,998.6800000,998.6900000,998.4100000,998.4300000,853819
RTSI,1,20170616,114500,998.4600000,998.9000000,998.4500000,998.6300000,926906
RTSI,1,20170616,114600,998.5900000,998.6600000,998.3900000,998.3900000,428381
RTSI,1,20170616,114700,998.3900000,998.4500000,997.7200000,997.7700000,754184
RTSI,1,20170616,114800,997.7700000,997.9500000,997.6300000,997.7100000,872860
RTSI,1,20170616,114900,997.7100000,997.8300000,997.2500000,997.3200000,2234154
RTSI,1,20170616,115000,997.3200000,997.5200000,997.1900000,997.2600000,1122314
RTSI,1,20170616,115100,997.2700000,997.5600000,997.2700000,997.3600000,1292996
