<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20170324,100100,1123.1700000,1123.7000000,1122.7000000,1123.5000000,2196630
RTSI,1,20170324,100200,1123.4600000,1123.6000000,1123.2900000,1123.3200000,1548553
RTSI,1,20170324,100300,1123.3100000,1123.4100000,1123.1200000,1123.3600000,730670
RTSI,1,20170324,100400,1123.3500000,1123.4200000,1122.9400000,1122.9600000,975516
RTSI,1,20170324,100500,1122.9300000,1122.9900000,1122.0300000,1122.1600000,811846
RTSI,1,20170324,100600,1122.1200000,1122.4400000,1121.8500000,1122.4000000,622295
RTSI,1,20170324,100700,1122.3400000,1123.1700000,1122.3400000,1123.1700000,861219
RTSI,1,20170324,100800,1123.1900000,1124.3200000,1123.1900000,1124.3200000,546845
RTSI,1,20170324,100900,1124.2300000,1125.3400000,1124.1800000,1125.3400000,447468
RTSI,1,20170324,101000,1125.3300000,1125.3400000,1124.7800000,1124.9400000,684574
RTSI,1,20170324,101100,1124.8400000,1124.9500000,1124.6400000,1124.7300000,356847
RTSI,1,20170324,101200,1124.7800000,1125.0100000,1124.6000000,1124.8500000,533412
RTSI,1,20170324,101300,1124.7200000,1124.9100000,1124.5500000,1124.8100000,306157
RTSI,1,20170324,101400,1124.8100000,1124.8900000,1124.5900000,1124.7900000,201914
RTSI,1,20170324,101500,1124.8300000,1124.9900000,1124.7000000,1124.9900000,530097
RTSI,1,20170324,101600,1125.0000000,1125.3000000,1124.7700000,1124.8000000,449778
RTSI,1,20170324,101700,1124.7800000,1124.8700000,1123.4800000,1123.5800000,583932
RTSI,1,20170324,101800,1123.5700000,1123.9000000,1123.4500000,1123.9000000,357492
RTSI,1,20170324,101900,1123.8700000,1124.0900000,1123.5000000,1123.5000000,417377
RTSI,1,20170324,102000,1123.5100000,1124.4400000,1123.5000000,1124.4400000,300700
RTSI,1,20170324,102100,1124.4500000,1124.6500000,1124.4100000,1124.6500000,252559
RTSI,1,20170324,102200,1124.6600000,1124.7800000,1124.0800000,1124.0800000,214114
RTSI,1,20170324,102300,1124.0600000,1124.0600000,1123.4500000,1123.4500000,335180
RTSI,1,20170324,102400,1123.4400000,1123.4400000,1121.5100000,1121.5100000,2107058
RTSI,1,20170324,102500,1121.6000000,1123.1100000,1121.5000000,1123.0000000,1464930
RTSI,1,20170324,102600,1122.9600000,1123.0000000,1122.3400000,1122.4600000,527010
RTSI,1,20170324,102700,1122.5100000,1122.5100000,1122.1400000,1122.3300000,848026
RTSI,1,20170324,102800,1122.3000000,1123.3800000,1122.2600000,1123.0700000,1009741
RTSI,1,20170324,102900,1123.0800000,1123.9600000,1123.0800000,1123.6500000,978311
RTSI,1,20170324,103000,1123.6000000,1123.9100000,1123.5600000,1123.8400000,593579
RTSI,1,20170324,103100,1124.0100000,1124.1700000,1123.7600000,1124.1500000,435327
RTSI,1,20170324,103200,1124.1400000,1124.1900000,1123.6600000,1123.7100000,308689
RTSI,1,20170324,103300,1123.7100000,1123.9200000,1123.6700000,1123.8600000,291432
RTSI,1,20170324,103400,1123.8800000,1123.9100000,1123.6600000,1123.7800000,233420
RTSI,1,20170324,103500,1123.7800000,1126.0500000,1123.7300000,1125.9100000,2067957
RTSI,1,20170324,103600,1125.9000000,1126.4800000,1125.8800000,1126.1900000,707652
RTSI,1,20170324,103700,1126.1800000,1126.3900000,1125.8200000,1125.8200000,682306
RTSI,1,20170324,103800,1125.8300000,1125.8300000,1125.2100000,1125.2600000,274606
RTSI,1,20170324,103900,1125.2400000,1125.6500000,1125.2400000,1125.6500000,210694
RTSI,1,20170324,104000,1125.6600000,1125.6600000,1125.1200000,1125.3700000,679970
RTSI,1,20170324,104100,1125.3300000,1125.7900000,1125.3300000,1125.4600000,564026
RTSI,1,20170324,104200,1125.4800000,1125.6900000,1125.4700000,1125.5500000,202831
RTSI,1,20170324,104300,1125.5500000,1125.6200000,1124.1100000,1124.1100000,526275
RTSI,1,20170324,104400,1124.1800000,1124.3600000,1124.0700000,1124.3300000,366037
RTSI,1,20170324,104500,1124.3300000,1124.4000000,1123.8200000,1123.8200000,455924
RTSI,1,20170324,104600,1123.8200000,1124.1800000,1123.8100000,1123.8100000,181935
RTSI,1,20170324,104700,1123.8500000,1123.9600000,1122.9600000,1123.1400000,684335
RTSI,1,20170324,104800,1123.1400000,1123.4100000,1123.0000000,1123.2900000,666880
RTSI,1,20170324,104900,1123.3000000,1123.3000000,1122.9200000,1122.9200000,630630
RTSI,1,20170324,105000,1122.9400000,1123.3800000,1122.9200000,1123.3800000,473826
RTSI,1,20170324,105100,1123.4600000,1123.8200000,1123.4600000,1123.7200000,226028
RTSI,1,20170324,105200,1123.7300000,1123.8200000,1123.6900000,1123.7900000,386246
RTSI,1,20170324,105300,1123.7900000,1123.7900000,1123.6200000,1123.7500000,157525
RTSI,1,20170324,105400,1123.7500000,1123.7500000,1123.4100000,1123.4200000,408860
RTSI,1,20170324,105500,1123.3600000,1123.3800000,1123.1400000,1123.1500000,292103
RTSI,1,20170324,105600,1123.1500000,1123.8500000,1123.1300000,1123.7900000,596227
RTSI,1,20170324,105700,1123.7400000,1123.7500000,1123.5300000,1123.7300000,376821
RTSI,1,20170324,105800,1123.7300000,1123.8200000,1123.5900000,1123.5900000,325855
RTSI,1,20170324,105900,1123.6000000,1123.6100000,1122.5600000,1122.5600000,408390
RTSI,1,20170324,110000,1122.6700000,1122.7900000,1122.5600000,1122.7100000,611854
RTSI,1,20170324,110100,1122.7700000,1122.9800000,1122.0700000,1122.1500000,1280857
RTSI,1,20170324,110200,1122.1400000,1122.1400000,1121.2000000,1121.5100000,585320
RTSI,1,20170324,110300,1121.5100000,1121.5600000,1119.8200000,1120.1300000,1863886
RTSI,1,20170324,110400,1120.1200000,1120.1200000,1119.6200000,1119.7500000,648837
RTSI,1,20170324,110500,1119.7700000,1119.7700000,1119.3200000,1119.4700000,749705
RTSI,1,20170324,110600,1119.4700000,1119.4700000,1118.7800000,1119.2500000,1687248
RTSI,1,20170324,110700,1119.2800000,1120.6700000,1119.2700000,1120.6700000,736816
RTSI,1,20170324,110800,1120.6400000,1120.6400000,1119.6300000,1120.0500000,920611
RTSI,1,20170324,110900,1119.9600000,1120.1300000,1119.6200000,1119.8600000,1063773
RTSI,1,20170324,111000,1119.8400000,1119.9700000,1119.1900000,1119.1900000,517838
RTSI,1,20170324,111100,1119.1100000,1119.1100000,1118.3600000,1118.7600000,1198330
RTSI,1,20170324,111200,1118.7500000,1118.9400000,1118.4300000,1118.5600000,748942
RTSI,1,20170324,111300,1118.5500000,1119.0500000,1118.4800000,1119.0500000,613590
RTSI,1,20170324,111400,1119.0200000,1119.0400000,1118.5800000,1118.6900000,738446
RTSI,1,20170324,111500,1118.7000000,1119.0200000,1118.5700000,1118.9000000,687434
RTSI,1,20170324,111600,1118.9900000,1119.0600000,1117.9800000,1118.0700000,1198535
RTSI,1,20170324,111700,1118.1000000,1118.1000000,1117.4500000,1117.8700000,1713893
RTSI,1,20170324,111800,1117.8500000,1118.4900000,1117.6000000,1118.4900000,2331872
RTSI,1,20170324,111900,1118.4500000,1119.4400000,1118.4300000,1119.3900000,763977
RTSI,1,20170324,112000,1119.3800000,1119.4800000,1119.2700000,1119.3600000,711570
RTSI,1,20170324,112100,1119.3300000,1119.3300000,1118.9600000,1119.1500000,783192
RTSI,1,20170324,112200,1119.1400000,1119.2100000,1118.9500000,1119.2100000,703319
RTSI,1,20170324,112300,1119.2200000,1119.2200000,1118.8800000,1118.9400000,765684
RTSI,1,20170324,112400,1118.9700000,1119.1700000,1118.8800000,1119.1200000,492854
RTSI,1,20170324,112500,1119.1100000,1119.5200000,1119.1000000,1119.4700000,600157
RTSI,1,20170324,112600,1119.4900000,1119.9500000,1119.4900000,1119.8900000,903397
RTSI,1,20170324,112700,1119.8600000,1119.8600000,1119.3100000,1119.4500000,786840
RTSI,1,20170324,112800,1119.3900000,1119.5300000,1119.3200000,1119.3300000,314030
RTSI,1,20170324,112900,1119.3300000,1119.3300000,1119.0800000,1119.2100000,324048
RTSI,1,20170324,113000,1119.2000000,1119.7400000,1119.1400000,1119.7400000,897462
RTSI,1,20170324,113100,1119.7400000,1119.9000000,1119.6300000,1119.7500000,943234
RTSI,1,20170324,113200,1119.7500000,1119.9600000,1119.3800000,1119.7100000,598684
RTSI,1,20170324,113300,1119.6900000,1120.1800000,1119.5400000,1120.0500000,1036857
RTSI,1,20170324,113400,1120.0400000,1120.5900000,1120.0400000,1120.4600000,715048
RTSI,1,20170324,113500,1120.4800000,1120.4800000,1119.6100000,1119.6400000,786129
RTSI,1,20170324,113600,1119.5700000,1120.0600000,1119.5700000,1119.9600000,713709
RTSI,1,20170324,113700,1119.9300000,1120.0800000,1119.7900000,1120.0800000,889043
RTSI,1,20170324,113800,1120.1100000,1120.8000000,1120.1100000,1120.3900000,634764
RTSI,1,20170324,113900,1120.3800000,1120.3800000,1119.3600000,1119.5700000,824662
RTSI,1,20170324,114000,1119.5700000,1119.5700000,1118.7200000,1118.7700000,1061361
RTSI,1,20170324,114100,1118.7800000,1118.7800000,1118.4300000,1118.4700000,511061
RTSI,1,20170324,114200,1118.5000000,1118.5700000,1117.7700000,1118.1200000,1611858
RTSI,1,20170324,114300,1118.2100000,1118.4000000,1117.7600000,1118.1100000,1073458
RTSI,1,20170324,114400,1118.1100000,1119.8800000,1117.9700000,1119.8300000,2186921
RTSI,1,20170324,114500,1120.0500000,1120.9000000,1119.9300000,1120.0600000,1660875
RTSI,1,20170324,114600,1120.1200000,1120.7700000,1119.8900000,1119.8900000,1437722
RTSI,1,20170324,114700,1119.9100000,1120.8300000,1119.9100000,1120.6900000,795602
RTSI,1,20170324,114800,1120.6800000,1120.7300000,1120.1900000,1120.2300000,559402
RTSI,1,20170324,114900,1120.2200000,1120.3500000,1120.0200000,1120.0200000,339611
RTSI,1,20170324,115000,1119.9600000,1120.1400000,1119.6600000,1119.8600000,1406542
RTSI,1,20170324,115100,1119.9300000,1120.7500000,1119.8300000,1120.6300000,2121984
RTSI,1,20170324,115200,1120.6500000,1120.7800000,1120.5700000,1120.6400000,808677
RTSI,1,20170324,115300,1120.6000000,1120.6800000,1120.2000000,1120.5200000,551122
RTSI,1,20170324,115400,1120.5300000,1120.5500000,1120.2000000,1120.2100000,437185
RTSI,1,20170324,115500,1120.2200000,1120.4100000,1119.2600000,1119.2900000,2502181
RTSI,1,20170324,115600,1119.3000000,1119.3700000,1118.8300000,1118.9200000,719149
RTSI,1,20170324,115700,1118.9000000,1119.2600000,1118.8400000,1119.2600000,406346
RTSI,1,20170324,115800,1119.3000000,1119.5300000,1119.2400000,1119.5000000,368176
RTSI,1,20170324,115900,1119.4700000,1119.5200000,1118.6900000,1118.7400000,581232
RTSI,1,20170324,120000,1118.8300000,1118.8400000,1118.5500000,1118.5800000,429470
RTSI,1,20170324,120100,1118.5800000,1119.6000000,1118.4400000,1118.9800000,793952
RTSI,1,20170324,120200,1118.9900000,1119.1900000,1118.9000000,1118.9300000,243641
RTSI,1,20170324,120300,1118.8300000,1118.8700000,1118.6800000,1118.7100000,189360
RTSI,1,20170324,120400,1118.7200000,1119.0800000,1118.7200000,1119.0500000,229948
RTSI,1,20170324,120500,1119.0600000,1119.3400000,1119.0400000,1119.3100000,190913
RTSI,1,20170324,120600,1119.2800000,1119.3300000,1119.1400000,1119.1800000,139678
RTSI,1,20170324,120700,1119.2000000,1119.2000000,1119.0400000,1119.1600000,186788
RTSI,1,20170324,120800,1119.1600000,1120.0400000,1118.8500000,1119.9000000,1075508
RTSI,1,20170324,120900,1119.9000000,1120.2400000,1119.9000000,1120.1600000,487988
RTSI,1,20170324,121000,1120.1600000,1120.1600000,1119.6700000,1119.8600000,342581
RTSI,1,20170324,121100,1119.8600000,1119.8600000,1119.6500000,1119.6500000,194006
RTSI,1,20170324,121200,1119.6600000,1119.7000000,1119.5000000,1119.7000000,177100
RTSI,1,20170324,121300,1119.7400000,1120.2000000,1119.6000000,1120.1000000,486027
RTSI,1,20170324,121400,1120.0800000,1120.5300000,1120.0600000,1120.5000000,276923
RTSI,1,20170324,121500,1120.4900000,1121.9600000,1120.3500000,1121.9600000,1102653
RTSI,1,20170324,121600,1121.9300000,1122.2500000,1121.8400000,1121.8400000,592742
RTSI,1,20170324,121700,1121.8900000,1121.9000000,1121.4600000,1121.4800000,280289
RTSI,1,20170324,121800,1121.4700000,1121.5800000,1120.9400000,1120.9400000,372798
RTSI,1,20170324,121900,1120.9400000,1124.1600000,1120.9200000,1124.1600000,5827352
RTSI,1,20170324,122000,1124.1000000,1124.5400000,1123.6700000,1123.8400000,3192663
RTSI,1,20170324,122100,1123.8600000,1124.3500000,1123.6300000,1123.7100000,642435
RTSI,1,20170324,122200,1123.7100000,1124.6900000,1123.7100000,1124.3900000,1098029
RTSI,1,20170324,122300,1124.3600000,1124.7800000,1124.3400000,1124.7700000,449565
RTSI,1,20170324,122400,1124.7400000,1125.1800000,1124.7400000,1125.1100000,384454
RTSI,1,20170324,122500,1125.1000000,1125.1000000,1124.5700000,1124.5800000,462894
RTSI,1,20170324,122600,1124.5600000,1124.5600000,1124.2300000,1124.2700000,347714
RTSI,1,20170324,122700,1124.2900000,1124.2900000,1123.9000000,1123.9500000,455003
RTSI,1,20170324,122800,1123.9400000,1124.2300000,1123.8500000,1124.2300000,567716
RTSI,1,20170324,122900,1124.2400000,1124.2900000,1123.9100000,1124.2700000,441556
RTSI,1,20170324,123000,1124.2600000,1124.2900000,1124.0800000,1124.2000000,504458
RTSI,1,20170324,123100,1124.2400000,1125.5100000,1124.2300000,1125.4200000,1048550
RTSI,1,20170324,123200,1125.4300000,1125.4900000,1124.9200000,1124.9600000,857882
RTSI,1,20170324,123300,1124.9100000,1124.9200000,1124.1500000,1124.2300000,380589
RTSI,1,20170324,123400,1124.1500000,1125.0800000,1124.1500000,1124.6400000,425424
RTSI,1,20170324,123500,1124.6400000,1124.7000000,1124.3000000,1124.3000000,447536
RTSI,1,20170324,123600,1124.3400000,1124.6900000,1124.1500000,1124.6900000,444876
RTSI,1,20170324,123700,1124.6900000,1125.2800000,1124.5500000,1124.7800000,1034759
RTSI,1,20170324,123800,1124.7600000,1125.1700000,1124.7600000,1125.0300000,737389
RTSI,1,20170324,123900,1125.0200000,1125.0800000,1124.4400000,1124.4600000,340433
RTSI,1,20170324,124000,1124.4500000,1124.5100000,1124.1700000,1124.2200000,167349
RTSI,1,20170324,124100,1124.2300000,1124.4500000,1124.1700000,1124.4000000,237674
RTSI,1,20170324,124200,1124.4100000,1124.5900000,1124.4000000,1124.5900000,207200
RTSI,1,20170324,124300,1124.6000000,1124.6500000,1124.3200000,1124.4000000,165791
RTSI,1,20170324,124400,1124.4100000,1124.4100000,1123.9700000,1124.0000000,254733
RTSI,1,20170324,124500,1124.0000000,1124.2000000,1123.9100000,1124.2000000,212658
RTSI,1,20170324,124600,1124.2000000,1124.9900000,1124.1700000,1124.8000000,1064686
RTSI,1,20170324,124700,1124.9000000,1124.9100000,1124.2000000,1124.3300000,501574
RTSI,1,20170324,124800,1124.3100000,1124.3100000,1124.0100000,1124.0300000,115573
RTSI,1,20170324,124900,1124.0300000,1124.3100000,1123.9900000,1124.2800000,232600
RTSI,1,20170324,125000,1124.2700000,1124.3600000,1124.1300000,1124.2200000,148679
RTSI,1,20170324,125100,1124.2200000,1124.2800000,1123.9200000,1123.9600000,268208
RTSI,1,20170324,125200,1123.9500000,1124.0400000,1123.9500000,1123.9600000,404960
RTSI,1,20170324,125300,1123.9300000,1123.9900000,1123.8300000,1123.9800000,290781
RTSI,1,20170324,125400,1123.9800000,1124.1700000,1123.9800000,1124.0500000,413939
RTSI,1,20170324,125500,1124.0500000,1124.3000000,1124.0500000,1124.0700000,467233
RTSI,1,20170324,125600,1124.0900000,1124.1600000,1123.9400000,1124.0100000,712825
RTSI,1,20170324,125700,1123.9800000,1124.0600000,1123.8700000,1123.8700000,178284
RTSI,1,20170324,125800,1123.8800000,1124.1800000,1123.7500000,1123.7900000,635104
RTSI,1,20170324,125900,1123.7900000,1123.9800000,1123.7100000,1123.9200000,586388
RTSI,1,20170324,130000,1123.8900000,1124.1600000,1123.8700000,1124.1600000,438361
RTSI,1,20170324,130100,1124.1600000,1124.1600000,1123.7000000,1123.8100000,356896
RTSI,1,20170324,130200,1123.7500000,1123.7700000,1123.6100000,1123.7200000,158600
RTSI,1,20170324,130300,1123.7400000,1123.7500000,1123.5900000,1123.7200000,160228
