<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20181214,100100,1129.0800000,1129.0800000,1128.1500000,1128.2800000,3735273
RTSI,1,20181214,100200,1128.5100000,1128.5400000,1124.9200000,1124.9200000,1848293
RTSI,1,20181214,100300,1124.9100000,1124.9100000,1124.1700000,1124.8900000,1063096
RTSI,1,20181214,100400,1124.8400000,1125.3500000,1124.6300000,1125.2200000,798166
RTSI,1,20181214,100500,1125.2000000,1125.2000000,1123.7700000,1124.0300000,1018915
RTSI,1,20181214,100600,1124.0200000,1124.0200000,1123.4000000,1123.7300000,1034039
RTSI,1,20181214,100700,1123.7800000,1124.4700000,1123.7800000,1124.2000000,941686
RTSI,1,20181214,100800,1124.1400000,1124.7300000,1124.1400000,1124.4900000,598448
RTSI,1,20181214,100900,1124.5100000,1124.7500000,1124.3900000,1124.4800000,609323
RTSI,1,20181214,101000,1124.4700000,1124.8000000,1124.3100000,1124.7300000,516042
RTSI,1,20181214,101100,1124.7300000,1124.7400000,1124.1800000,1124.2500000,1210337
RTSI,1,20181214,101200,1124.2500000,1124.7600000,1123.9400000,1124.6400000,920804
RTSI,1,20181214,101300,1124.6200000,1124.8600000,1124.5900000,1124.7100000,619236
RTSI,1,20181214,101400,1124.7200000,1124.7200000,1123.6600000,1123.6600000,417421
RTSI,1,20181214,101500,1123.6500000,1123.7000000,1123.4600000,1123.5500000,346316
RTSI,1,20181214,101600,1123.5900000,1123.6500000,1123.2600000,1123.5900000,936336
RTSI,1,20181214,101700,1123.5900000,1123.8300000,1123.3400000,1123.4500000,2369215
RTSI,1,20181214,101800,1123.4600000,1123.9000000,1123.3200000,1123.8200000,726805
RTSI,1,20181214,101900,1123.8300000,1124.0900000,1123.8300000,1124.0400000,409095
RTSI,1,20181214,102000,1124.0400000,1124.0400000,1123.1400000,1123.1400000,907011
RTSI,1,20181214,102100,1123.2000000,1123.2000000,1122.8900000,1122.9900000,608558
RTSI,1,20181214,102200,1122.9000000,1122.9500000,1122.5300000,1122.6100000,848411
RTSI,1,20181214,102300,1122.6700000,1122.6700000,1122.2700000,1122.3000000,888633
RTSI,1,20181214,102400,1122.3000000,1122.3000000,1121.3900000,1121.4800000,1707262
RTSI,1,20181214,102500,1121.4800000,1121.9000000,1121.3700000,1121.7600000,1130495
RTSI,1,20181214,102600,1121.7600000,1121.7600000,1119.6100000,1120.0700000,2292868
RTSI,1,20181214,102700,1120.1900000,1120.6800000,1120.1900000,1120.5000000,881134
RTSI,1,20181214,102800,1120.5500000,1121.2900000,1120.5400000,1121.1800000,841811
RTSI,1,20181214,102900,1121.1800000,1121.4900000,1120.9800000,1121.4600000,513735
RTSI,1,20181214,103000,1121.4600000,1121.6000000,1121.1900000,1121.2300000,503874
RTSI,1,20181214,103100,1121.2300000,1121.3300000,1120.9800000,1121.2500000,500470
RTSI,1,20181214,103200,1121.1800000,1121.5700000,1121.0900000,1121.5600000,860955
RTSI,1,20181214,103300,1121.5700000,1121.7800000,1121.2700000,1121.3500000,1062728
RTSI,1,20181214,103400,1121.4400000,1121.6700000,1121.2500000,1121.6700000,658782
RTSI,1,20181214,103500,1121.7700000,1121.8200000,1121.3800000,1121.6700000,689163
RTSI,1,20181214,103600,1121.6400000,1121.6400000,1120.5300000,1120.6100000,2120707
RTSI,1,20181214,103700,1120.6600000,1121.2200000,1120.5900000,1120.8900000,1744383
RTSI,1,20181214,103800,1120.8600000,1120.8800000,1119.5500000,1119.7800000,1516705
RTSI,1,20181214,103900,1119.6700000,1120.3000000,1119.5200000,1120.2400000,2719726
RTSI,1,20181214,104000,1120.2400000,1120.7400000,1120.1600000,1120.1900000,804492
RTSI,1,20181214,104100,1120.1900000,1120.4400000,1120.0700000,1120.4100000,537779
RTSI,1,20181214,104200,1120.3800000,1120.6500000,1120.3800000,1120.5000000,506085
RTSI,1,20181214,104300,1120.5400000,1120.9400000,1120.4400000,1120.9400000,491496
RTSI,1,20181214,104400,1120.9400000,1120.9700000,1120.8500000,1120.8600000,418130
RTSI,1,20181214,104500,1120.8700000,1120.9900000,1120.7400000,1120.8400000,591511
RTSI,1,20181214,104600,1120.9100000,1120.9400000,1120.6200000,1120.8200000,162210
RTSI,1,20181214,104700,1120.8200000,1120.9900000,1120.8000000,1120.8700000,308458
RTSI,1,20181214,104800,1120.9000000,1121.3900000,1120.8600000,1121.3800000,930223
RTSI,1,20181214,104900,1121.3900000,1121.8500000,1121.3900000,1121.8500000,704806
RTSI,1,20181214,105000,1121.8500000,1122.3300000,1121.8500000,1122.3200000,1028924
RTSI,1,20181214,105100,1122.3500000,1122.3500000,1122.0400000,1122.1200000,912051
RTSI,1,20181214,105200,1122.1500000,1122.5400000,1122.1500000,1122.4600000,204114
RTSI,1,20181214,105300,1122.4600000,1122.4900000,1122.2500000,1122.2600000,517837
RTSI,1,20181214,105400,1122.2600000,1122.5800000,1122.2400000,1122.5800000,259312
RTSI,1,20181214,105500,1122.5800000,1122.8500000,1122.5200000,1122.5200000,223755
RTSI,1,20181214,105600,1122.5100000,1122.7100000,1122.3200000,1122.3300000,183220
RTSI,1,20181214,105700,1122.3300000,1122.7100000,1122.2000000,1122.5600000,390043
RTSI,1,20181214,105800,1122.5000000,1122.5500000,1121.1700000,1121.1700000,2660551
RTSI,1,20181214,105900,1121.1600000,1121.3000000,1120.8500000,1121.3000000,328270
RTSI,1,20181214,110000,1121.1900000,1121.6100000,1120.5500000,1120.5500000,865945
RTSI,1,20181214,110100,1120.5800000,1120.9700000,1119.0600000,1119.0600000,2749727
RTSI,1,20181214,110200,1119.0800000,1119.0900000,1117.5400000,1118.2100000,2487374
RTSI,1,20181214,110300,1118.2300000,1119.0600000,1118.2300000,1119.0600000,645209
RTSI,1,20181214,110400,1119.0700000,1119.9700000,1119.0600000,1119.9600000,525250
RTSI,1,20181214,110500,1119.9800000,1121.3000000,1119.9700000,1120.9200000,2111492
RTSI,1,20181214,110600,1120.9300000,1120.9300000,1120.3300000,1120.4600000,506192
RTSI,1,20181214,110700,1120.4600000,1120.7400000,1120.2800000,1120.6700000,1792633
RTSI,1,20181214,110800,1120.4900000,1121.0800000,1120.3300000,1120.5000000,1825186
RTSI,1,20181214,110900,1120.5100000,1120.8800000,1120.3400000,1120.7200000,799497
RTSI,1,20181214,111000,1120.7700000,1120.9100000,1120.6200000,1120.7900000,1039788
RTSI,1,20181214,111100,1120.7900000,1120.7900000,1119.7400000,1119.9300000,3167078
RTSI,1,20181214,111200,1119.9200000,1120.2000000,1119.0200000,1119.0600000,2308763
RTSI,1,20181214,111300,1119.0200000,1119.4300000,1118.9500000,1119.2800000,1404990
RTSI,1,20181214,111400,1119.3700000,1119.4800000,1119.0100000,1119.2100000,2411825
RTSI,1,20181214,111500,1119.0100000,1120.3100000,1119.0100000,1120.1300000,1062779
RTSI,1,20181214,111600,1120.1200000,1120.1200000,1119.3000000,1119.3000000,1381300
RTSI,1,20181214,111700,1119.2700000,1119.8400000,1119.2700000,1119.4100000,2090240
RTSI,1,20181214,111800,1119.4000000,1119.4000000,1118.3900000,1118.7200000,1911747
RTSI,1,20181214,111900,1118.7500000,1118.9400000,1118.3400000,1118.8200000,2748378
RTSI,1,20181214,112000,1118.9200000,1119.0400000,1118.4100000,1118.4800000,1093619
RTSI,1,20181214,112100,1118.5200000,1119.0000000,1118.5200000,1118.6900000,1889859
RTSI,1,20181214,112200,1118.7100000,1119.1500000,1118.5000000,1119.0200000,1101296
RTSI,1,20181214,112300,1119.0500000,1119.8100000,1118.9800000,1119.7800000,964752
RTSI,1,20181214,112400,1119.7800000,1119.9400000,1119.5000000,1119.8400000,584762
RTSI,1,20181214,112500,1119.8100000,1119.8200000,1119.1200000,1119.8200000,1468120
RTSI,1,20181214,112600,1119.8300000,1119.8700000,1119.1600000,1119.4000000,1155904
RTSI,1,20181214,112700,1119.3900000,1119.5500000,1119.1500000,1119.4400000,987164
RTSI,1,20181214,112800,1119.4100000,1119.4300000,1119.0000000,1119.0500000,746595
RTSI,1,20181214,112900,1119.0000000,1119.0700000,1118.6400000,1118.8300000,933974
RTSI,1,20181214,113000,1118.9000000,1118.9000000,1118.6200000,1118.6300000,835468
RTSI,1,20181214,113100,1118.6400000,1118.6900000,1118.1100000,1118.1100000,2036801
RTSI,1,20181214,113200,1118.0900000,1118.1900000,1117.6000000,1117.8600000,3593317
RTSI,1,20181214,113300,1117.8600000,1118.5200000,1117.8300000,1118.4000000,1450600
RTSI,1,20181214,113400,1118.4500000,1118.6600000,1118.3800000,1118.5900000,1019625
