<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
RTSI,1,20161216,100100,1142.6300000,1147.1100000,1142.6300000,1146.3500000,4070953
RTSI,1,20161216,100200,1145.9400000,1147.1900000,1145.9400000,1146.9400000,3745682
RTSI,1,20161216,100300,1146.8600000,1148.6100000,1146.8600000,1148.3900000,3081387
RTSI,1,20161216,100400,1148.3700000,1148.5900000,1147.3500000,1147.6900000,2046507
RTSI,1,20161216,100500,1147.5900000,1147.8200000,1147.1300000,1147.1800000,2110311
RTSI,1,20161216,100600,1147.1900000,1147.1900000,1146.4200000,1146.4300000,2518835
RTSI,1,20161216,100700,1146.4200000,1146.4200000,1145.3500000,1145.3500000,1624289
RTSI,1,20161216,100800,1145.4000000,1145.4200000,1144.6200000,1144.6700000,2613645
RTSI,1,20161216,100900,1144.6300000,1144.9700000,1144.2200000,1144.2200000,1050286
RTSI,1,20161216,101000,1144.2200000,1144.2400000,1143.6400000,1143.6900000,1182491
RTSI,1,20161216,101100,1143.7000000,1144.3300000,1143.7000000,1144.2300000,1273369
RTSI,1,20161216,101200,1144.2200000,1144.2600000,1143.8400000,1143.8400000,1104745
RTSI,1,20161216,101300,1143.8900000,1144.1200000,1143.0700000,1143.1000000,1399289
RTSI,1,20161216,101400,1143.1300000,1143.4600000,1142.1800000,1142.1900000,2829750
RTSI,1,20161216,101500,1142.0300000,1142.9200000,1142.0200000,1142.6800000,1067000
RTSI,1,20161216,101600,1142.6400000,1143.0900000,1142.6400000,1142.8400000,875977
RTSI,1,20161216,101700,1142.8300000,1143.0500000,1142.7700000,1142.7700000,758264
RTSI,1,20161216,101800,1142.7700000,1142.9300000,1142.5400000,1142.8700000,975192
RTSI,1,20161216,101900,1142.8600000,1142.8600000,1142.0600000,1142.0700000,792055
RTSI,1,20161216,102000,1142.1000000,1142.1000000,1141.2500000,1141.3600000,1238687
RTSI,1,20161216,102100,1141.3300000,1141.4300000,1140.7700000,1141.3400000,1626709
RTSI,1,20161216,102200,1141.3400000,1141.5400000,1141.1100000,1141.5400000,1731442
RTSI,1,20161216,102300,1141.6300000,1141.9700000,1141.4000000,1141.5700000,1530069
RTSI,1,20161216,102400,1141.5000000,1141.6800000,1141.3800000,1141.4600000,650970
RTSI,1,20161216,102500,1141.4300000,1142.0100000,1141.4200000,1141.9900000,609276
RTSI,1,20161216,102600,1142.1200000,1142.1200000,1141.8000000,1141.8100000,651442
RTSI,1,20161216,102700,1141.8000000,1142.7600000,1141.8000000,1142.7600000,1128405
RTSI,1,20161216,102800,1142.8000000,1143.4900000,1142.8000000,1143.4100000,867301
RTSI,1,20161216,102900,1143.4200000,1143.5400000,1142.8300000,1142.8300000,740498
RTSI,1,20161216,103000,1142.7400000,1142.9200000,1142.4600000,1142.4900000,599994
RTSI,1,20161216,103100,1142.5000000,1143.0300000,1142.5000000,1142.8400000,776134
RTSI,1,20161216,103200,1142.8300000,1143.9700000,1142.7800000,1143.9700000,1371776
RTSI,1,20161216,103300,1144.0100000,1144.0100000,1143.4900000,1143.8600000,1074876
RTSI,1,20161216,103400,1143.8400000,1144.5800000,1143.7400000,1144.4600000,1115406
RTSI,1,20161216,103500,1144.4800000,1144.6800000,1144.1300000,1144.2100000,1134398
RTSI,1,20161216,103600,1144.2100000,1144.5100000,1144.1100000,1144.2600000,928625
RTSI,1,20161216,103700,1144.3500000,1144.5800000,1143.8900000,1143.9400000,970100
RTSI,1,20161216,103800,1143.9600000,1145.2000000,1143.9200000,1145.1900000,1640771
RTSI,1,20161216,103900,1145.1900000,1145.1900000,1144.6600000,1144.7700000,701385
RTSI,1,20161216,104000,1144.7100000,1144.7600000,1144.4800000,1144.4900000,828966
RTSI,1,20161216,104100,1144.4400000,1144.7100000,1144.3900000,1144.5000000,805786
RTSI,1,20161216,104200,1144.5100000,1145.0100000,1144.4600000,1144.7000000,1765655
RTSI,1,20161216,104300,1144.6700000,1144.7300000,1144.3900000,1144.4400000,1194913
RTSI,1,20161216,104400,1144.4800000,1144.6700000,1144.3100000,1144.3100000,800187
RTSI,1,20161216,104500,1144.3400000,1144.6900000,1144.3400000,1144.4700000,1565490
RTSI,1,20161216,104600,1144.4700000,1144.4700000,1143.9900000,1143.9900000,1601287
RTSI,1,20161216,104700,1143.9900000,1144.0700000,1143.8200000,1144.0300000,1167420
RTSI,1,20161216,104800,1143.9900000,1145.1600000,1143.9900000,1144.8800000,1837077
RTSI,1,20161216,104900,1144.8700000,1145.6500000,1144.7500000,1144.9200000,1889949
RTSI,1,20161216,105000,1144.9200000,1145.4500000,1144.4500000,1145.1000000,1225015
RTSI,1,20161216,105100,1145.1000000,1146.4700000,1145.0700000,1146.4700000,1227105
RTSI,1,20161216,105200,1146.4900000,1146.6200000,1146.4000000,1146.5100000,1095633
RTSI,1,20161216,105300,1146.4900000,1146.6100000,1145.3800000,1145.4300000,688825
RTSI,1,20161216,105400,1145.4300000,1146.1600000,1145.1900000,1145.1900000,1660104
RTSI,1,20161216,105500,1145.2100000,1145.2600000,1144.8500000,1145.1300000,880078
RTSI,1,20161216,105600,1145.0600000,1145.4900000,1145.0300000,1145.0300000,1077794
RTSI,1,20161216,105700,1145.0400000,1145.2400000,1144.4900000,1144.4900000,766564
RTSI,1,20161216,105800,1144.5200000,1144.7000000,1144.5100000,1144.7000000,912660
RTSI,1,20161216,105900,1144.7100000,1144.7800000,1144.4200000,1144.4300000,877912
RTSI,1,20161216,110000,1144.4600000,1144.9900000,1144.4500000,1144.8300000,1346213
RTSI,1,20161216,110100,1144.8500000,1144.8500000,1142.3200000,1142.7000000,7677970
RTSI,1,20161216,110200,1142.7900000,1144.9000000,1142.7900000,1144.5300000,4203543
RTSI,1,20161216,110300,1144.5400000,1145.3200000,1144.2600000,1144.4400000,4144037
RTSI,1,20161216,110400,1144.9300000,1145.0900000,1143.7200000,1143.7200000,2542065
RTSI,1,20161216,110500,1143.7600000,1144.1100000,1143.0500000,1143.6500000,3375543
RTSI,1,20161216,110600,1143.6500000,1144.5900000,1143.6500000,1143.8900000,2472217
RTSI,1,20161216,110700,1143.8600000,1144.1300000,1143.2800000,1143.2800000,2224612
RTSI,1,20161216,110800,1143.2600000,1143.7500000,1141.9100000,1142.2500000,3904051
RTSI,1,20161216,110900,1142.3600000,1143.2100000,1142.0800000,1143.2100000,2385605
RTSI,1,20161216,111000,1143.2300000,1143.2300000,1141.7400000,1141.7400000,1941709
RTSI,1,20161216,111100,1141.7000000,1142.7300000,1141.7000000,1142.2800000,2792779
RTSI,1,20161216,111200,1142.3400000,1142.5700000,1142.1900000,1142.3100000,1206309
RTSI,1,20161216,111300,1142.2400000,1142.7100000,1142.2400000,1142.6500000,839330
RTSI,1,20161216,111400,1142.6700000,1142.8900000,1142.4600000,1142.8900000,1533157
RTSI,1,20161216,111500,1142.9100000,1143.6700000,1142.6900000,1143.6000000,3029939
RTSI,1,20161216,111600,1143.6500000,1144.6200000,1143.5500000,1144.3100000,3406970
RTSI,1,20161216,111700,1144.3300000,1145.0800000,1144.2400000,1144.9100000,1854853
RTSI,1,20161216,111800,1144.9100000,1145.5800000,1144.6700000,1145.1200000,2151825
